Name,V1,V2,E1,E2,EAlphaHat,D1,D2,AddedNodes,EdgesPerAddedNode,AddedEdges,RemovedEdges,Accuracy,NodeCorrectness,Time,Generated,Alignment,Corrects,Mistakes,FP,FN,FBetaStar,NodeCorrectness,Time,Generated,Alignment,Corrects,Mistakes,FP,FN,SameAlignment?,DeltaGenerated,DeltaTime,%generated,%time
ER-12-6-1595193788189,10,12,6,12,8.0,0.13333333333333333,0.18181818181818182,2,2,3,1,1.0,0.0,17,81365,7 3 4 11 6 2 1 9 5 12 ,45.0,0.0,0.0,0.0,1.0,0.0,19,86319,7 3 4 11 6 2 1 9 5 12 ,45.0,0.0,0.0,0.0,True,-4954,-2,-6,-11
ER-12-6-1595193788189,10,12,6,12,8.0,0.13333333333333333,0.18181818181818182,2,2,4,2,0.9777777777777777,0.0,61,267069,3 12 6 5 2 9 10 1 4 8 ,44.0,1.0,0.0,1.0,0.9333333333333333,0.0,54,240495,3 12 6 5 2 9 10 1 4 8 ,44.0,1.0,0.0,1.0,True,26574,7,9,11
ER-12-6-1595193788189,10,12,6,12,8.0,0.13333333333333333,0.18181818181818182,2,2,5,3,1.0,0.0,13,66710,10 5 1 2 7 9 6 4 12 11 ,45.0,0.0,0.0,0.0,1.0,0.0,15,72513,10 5 1 2 7 9 6 4 12 11 ,45.0,0.0,0.0,0.0,True,-5803,-2,-8,-15
ER-12-7-1595193788191,12,14,7,13,9.0,0.10606060606060606,0.14285714285714285,2,2,3,1,0.9545454545454546,0.16666666666666666,24487,117070177,4 10 13 6 11 1 7 12 9 5 2 8 ,63.0,3.0,2.0,1.0,0.8067226890756303,0.6666666666666666,72920,346804879,10 1 3 4 13 6 7 8 9 5 11 12 ,63.0,3.0,1.0,2.0,False,-229734702,-48433,-196,-197
ER-12-7-1595193788191,12,14,7,13,9.0,0.10606060606060606,0.14285714285714285,2,2,4,2,0.9848484848484849,0.25,15333,73122817,1 12 3 13 4 5 6 9 7 10 2 14 ,65.0,1.0,0.0,1.0,0.9411764705882353,0.25,46780,225875742,1 12 3 13 4 5 6 9 7 10 2 14 ,65.0,1.0,0.0,1.0,True,-152752925,-31447,-208,-205
ER-12-7-1595193788191,12,14,7,13,9.0,0.10606060606060606,0.14285714285714285,2,2,5,3,0.9696969696969697,0.25,23012,110391813,2 14 3 12 6 10 5 1 9 7 11 13 ,64.0,2.0,1.0,1.0,0.8571428571428571,0.25,67925,314314149,2 14 3 12 6 10 5 1 9 7 11 13 ,64.0,2.0,1.0,1.0,True,-203922336,-44913,-184,-195
ER-12-8-1595193788193,12,14,8,14,10.0,0.12121212121212122,0.15384615384615385,2,2,3,1,0.9696969696969697,0.0,1098,4924831,7 6 4 8 10 1 12 11 3 9 13 2 ,64.0,2.0,0.0,2.0,0.9,0.0,1558,6898884,7 6 4 8 10 1 12 11 3 9 13 2 ,64.0,2.0,0.0,2.0,True,-1974053,-460,-40,-41
ER-12-8-1595193788193,12,14,8,14,10.0,0.12121212121212122,0.15384615384615385,2,2,4,2,0.9545454545454546,0.0,3522,15884694,12 10 14 1 9 7 2 4 3 11 5 6 ,63.0,3.0,1.0,2.0,0.8289473684210527,0.0,4212,18467491,12 10 14 1 9 7 2 4 3 11 5 6 ,63.0,3.0,1.0,2.0,True,-2582797,-690,-16,-19
ER-12-8-1595193788193,12,14,8,14,10.0,0.12121212121212122,0.15384615384615385,2,2,5,3,0.9545454545454546,0.08333333333333333,3290,14158027,4 6 1 2 10 13 11 3 9 7 8 5 ,63.0,3.0,1.0,2.0,0.8289473684210527,0.08333333333333333,3606,15709699,4 6 1 2 10 13 11 3 9 7 8 5 ,63.0,3.0,1.0,2.0,True,-1551672,-316,-10,-9
ER-12-9-1595193788194,12,14,9,15,11.0,0.13636363636363635,0.16483516483516483,2,2,3,1,0.9848484848484849,0.0,406,1727658,8 10 6 14 13 5 2 3 7 11 1 4 ,65.0,1.0,0.0,1.0,0.9523809523809524,0.0,387,1619774,8 10 6 14 13 5 2 3 7 11 1 4 ,65.0,1.0,0.0,1.0,True,107884,19,6,4
ER-12-9-1595193788194,12,14,9,15,11.0,0.13636363636363635,0.16483516483516483,2,2,4,2,0.9696969696969697,0.8333333333333334,2750,12008457,8 2 3 4 5 6 7 1 9 10 11 12 ,64.0,2.0,0.0,2.0,0.9090909090909091,0.8333333333333334,2380,10582436,8 2 3 4 5 6 7 1 9 10 11 12 ,64.0,2.0,0.0,2.0,True,1426021,370,11,13
ER-12-9-1595193788194,12,14,9,15,11.0,0.13636363636363635,0.16483516483516483,2,2,5,3,0.9848484848484849,0.3333333333333333,1213,5315261,1 3 2 13 10 14 7 4 9 11 5 12 ,65.0,1.0,1.0,0.0,0.9356725146198831,0.3333333333333333,1240,5573526,1 3 2 13 10 14 7 4 9 11 5 12 ,65.0,1.0,1.0,0.0,True,-258265,-27,-4,-2


ER-12-10-1595193788194,12,14,10,16,12.0,0.15151515151515152,0.17582417582417584,2,2,3,1,0.9696969696969697,0.16666666666666666,2106,8161105,7 5 8 11 2 14 6 1 9 4 10 12 ,64.0,2.0,1.0,1.0,0.9242424242424242,0.3333333333333333,2654,9494468,1 5 6 11 2 3 8 7 9 10 4 12 ,64.0,2.0,0.0,2.0,False,-1333363,-548,-16,-26
ER-12-10-1595193788194,12,14,10,16,12.0,0.15151515151515152,0.17582417582417584,2,2,4,2,0.9848484848484849,0.08333333333333333,1184,5149101,1 9 6 3 14 11 5 13 7 2 12 4 ,65.0,1.0,0.0,1.0,0.9606299212598426,0.08333333333333333,1325,5988893,1 9 6 3 14 11 5 13 7 2 12 4 ,65.0,1.0,0.0,1.0,True,-839792,-141,-16,-11
ER-12-10-1595193788194,12,14,10,16,12.0,0.15151515151515152,0.17582417582417584,2,2,5,3,0.9545454545454546,0.16666666666666666,1685,7412647,5 8 1 11 13 2 6 7 9 10 4 14 ,63.0,3.0,1.0,2.0,0.8645669291338584,0.16666666666666666,1608,7057076,5 8 1 11 13 2 6 7 9 10 4 14 ,63.0,3.0,1.0,2.0,True,355571,77,4,4
ER-12-11-1595193788195,12,14,11,17,13.0,0.16666666666666666,0.18681318681318682,2,2,3,1,0.9848484848484849,0.16666666666666666,6291,27614212,1 7 3 8 14 12 2 4 13 11 10 6 ,65.0,1.0,0.0,1.0,0.9634551495016612,0.16666666666666666,5485,24362290,1 7 3 8 14 12 2 4 13 11 10 6 ,65.0,1.0,0.0,1.0,True,3251922,806,11,12
ER-12-11-1595193788195,12,14,11,17,13.0,0.16666666666666666,0.18681318681318682,2,2,4,2,0.9545454545454546,0.25,17878,77379152,12 2 1 5 3 6 10 13 8 14 11 7 ,63.0,3.0,2.0,1.0,0.8758683177287828,0.25,18773,80161270,12 2 1 5 3 6 14 13 4 7 11 10 ,63.0,3.0,1.0,2.0,False,-2782118,-895,-3,-5
ER-12-11-1595193788195,12,14,11,17,13.0,0.16666666666666666,0.18681318681318682,2,2,5,3,0.9545454545454546,0.3333333333333333,19235,81962200,5 2 13 4 14 6 12 3 1 7 11 10 ,63.0,3.0,2.0,1.0,0.8758683177287828,0.25,16635,73253035,7 2 1 8 14 6 12 3 5 13 11 9 ,63.0,3.0,1.0,2.0,False,8709165,2600,10,13
ER-12-12-1595193788196,12,14,12,18,14.0,0.18181818181818182,0.1978021978021978,2,2,3,1,0.9696969696969697,0.3333333333333333,1115,4673003,1 14 2 7 5 8 4 6 13 10 9 12 ,64.0,2.0,1.0,1.0,0.9166666666666666,0.3333333333333333,1772,7425459,1 14 2 7 5 8 4 6 13 10 9 12 ,64.0,2.0,1.0,1.0,True,-2752456,-657,-58,-58
ER-12-12-1595193788196,12,14,12,18,14.0,0.18181818181818182,0.1978021978021978,2,2,4,2,0.9545454545454546,0.5833333333333334,2938,12145078,5 3 11 4 1 6 7 8 9 10 13 12 ,63.0,3.0,0.0,3.0,0.9042553191489362,0.5833333333333334,3749,15816621,5 3 11 4 1 6 7 8 9 10 13 12 ,63.0,3.0,0.0,3.0,True,-3671543,-811,-30,-27
ER-12-12-1595193788196,12,14,12,18,14.0,0.18181818181818182,0.1978021978021978,2,2,5,3,0.9696969696969697,0.0,626,2604823,2 3 11 14 13 10 8 6 1 4 12 9 ,64.0,2.0,1.0,1.0,0.9340659340659341,0.3333333333333333,855,3596426,5 8 14 11 1 6 3 2 9 10 7 12 ,64.0,2.0,0.0,2.0,False,-991603,-229,-38,-36
