Name,V1,V2,E1,E2,EAlphaHat,D1,D2,AddedNodes,EdgesPerAddedNode,AddedEdges,RemovedEdges,WAcc,NodeCorrectness,Time,Generated,Alignment,Corrects,Mistakes,FP,FN,FBetaHash,NodeCorrectness,Time,Generated,Alignment,Corrects,Mistakes,FP,FN,SameAlignment?,DeltaGenerated,DeltaTime,%generated,%time
ER-12-6-1595193788189,10,12,6,12,8.0,0.13333333333333333,0.18181818181818182,2,2,3,1,1.0,0.0,17,74135,7 3 4 11 6 2 1 9 5 12 ,45.0,0.0,0.0,0.0,1.0,0.0,18,74135,7 3 4 11 6 2 1 9 5 12 ,45.0,0.0,0.0,0.0,True,0,-1,0,-5
ER-12-6-1595193788189,10,12,6,12,8.0,0.13333333333333333,0.18181818181818182,2,2,4,2,0.9871794871794872,0.0,46,209802,3 12 6 5 2 9 10 1 4 8 ,44.0,1.0,0.0,1.0,0.9873588403842912,0.0,47,209802,3 12 6 5 2 9 10 1 4 8 ,44.0,1.0,0.0,1.0,True,0,-1,0,-2
ER-12-6-1595193788189,10,12,6,12,8.0,0.13333333333333333,0.18181818181818182,2,2,5,3,1.0,0.0,14,67719,10 5 1 2 7 9 6 4 12 11 ,45.0,0.0,0.0,0.0,1.0,0.0,15,67719,10 5 1 2 7 9 6 4 12 11 ,45.0,0.0,0.0,0.0,True,0,-1,0,-7
ER-12-7-1595193788191,12,14,7,13,9.0,0.10606060606060606,0.14285714285714285,2,2,3,1,0.9116222760290557,0.6666666666666666,193289,933103290,10 1 3 4 13 6 7 8 9 5 11 12 ,63.0,3.0,1.0,2.0,0.8483518553399887,0.6666666666666666,200981,933103289,10 1 3 4 13 6 7 8 9 5 11 12 ,63.0,3.0,1.0,2.0,True,1,-7692,0,-3
ER-12-7-1595193788191,12,14,7,13,9.0,0.10606060606060606,0.14285714285714285,2,2,4,2,0.9915254237288136,0.25,84860,414465719,1 12 3 13 4 5 6 9 7 10 2 14 ,65.0,1.0,0.0,1.0,0.9897438312299868,0.25,88294,414465719,1 12 3 13 4 5 6 9 7 10 2 14 ,65.0,1.0,0.0,1.0,True,0,-3434,0,-4
ER-12-7-1595193788191,12,14,7,13,9.0,0.10606060606060606,0.14285714285714285,2,2,5,3,0.9200968523002422,0.25,180770,851682817,2 14 3 12 6 10 5 1 9 7 11 13 ,64.0,2.0,1.0,1.0,0.8571428571428571,0.25,188404,851682817,2 14 3 12 6 10 5 1 9 7 11 13 ,64.0,2.0,1.0,1.0,True,0,-7634,0,-4
ER-12-8-1595193788193,12,14,8,14,10.0,0.12121212121212122,0.15384615384615385,2,2,3,1,0.9827586206896552,0.0,1483,6886538,7 6 4 8 10 1 12 11 3 9 13 2 ,64.0,2.0,0.0,2.0,0.9816261452023823,0.0,1532,6886538,7 6 4 8 10 1 12 11 3 9 13 2 ,64.0,2.0,0.0,2.0,True,0,-49,0,-3
ER-12-8-1595193788193,12,14,8,14,10.0,0.12121212121212122,0.15384615384615385,2,2,4,2,0.9202586206896552,0.0,4919,22183454,12 10 14 1 9 7 2 4 3 11 5 6 ,63.0,3.0,1.0,2.0,0.8668869041030575,0.0,5044,22183454,12 10 14 1 9 7 2 4 3 11 5 6 ,63.0,3.0,1.0,2.0,True,0,-125,0,-2
ER-12-8-1595193788193,12,14,8,14,10.0,0.12121212121212122,0.15384615384615385,2,2,5,3,0.9202586206896552,0.08333333333333333,3756,16258311,4 6 1 2 10 13 11 3 9 7 8 5 ,63.0,3.0,1.0,2.0,0.8668869041030575,0.08333333333333333,3709,16258311,4 6 1 2 10 13 11 3 9 7 8 5 ,63.0,3.0,1.0,2.0,True,0,47,0,1
ER-12-9-1595193788194,12,14,9,15,11.0,0.13636363636363635,0.16483516483516483,2,2,3,1,0.9912280701754386,0.0,172,707968,8 10 6 14 13 5 2 3 7 11 1 4 ,65.0,1.0,0.0,1.0,0.9914824721948472,0.0,174,707968,8 10 6 14 13 5 2 3 7 11 1 4 ,65.0,1.0,0.0,1.0,True,0,-2,0,-1
ER-12-9-1595193788194,12,14,9,15,11.0,0.13636363636363635,0.16483516483516483,2,2,4,2,0.9824561403508771,0.8333333333333334,742,3380340,8 2 3 4 5 6 7 1 9 10 11 12 ,64.0,2.0,0.0,2.0,0.9831088155231382,0.8333333333333334,772,3380340,8 2 3 4 5 6 7 1 9 10 11 12 ,64.0,2.0,0.0,2.0,True,0,-30,0,-4
ER-12-9-1595193788194,12,14,9,15,11.0,0.13636363636363635,0.16483516483516483,2,2,5,3,0.9824561403508771,0.3333333333333333,293,1348667,1 2 10 4 7 6 8 5 14 9 12 13 ,64.0,2.0,0.0,2.0,0.9831088155231382,0.3333333333333333,304,1348667,1 2 10 4 7 6 8 5 14 9 12 13 ,64.0,2.0,0.0,2.0,True,0,-11,0,-3
